ETD status,PID,Author name,Title,Abstract,Table of Contents
published,emory:brkss,"Stroud, Shayla Navonne","A PRE- AND POST-MENU EVALUATION OF HEALTHY FUTURES
STARTING IN THE KITCHEN : AN EDUCATIONAL PROGRAM THAT
TEACHES CHILD CARE CENTER COOKS AND ADMINISTRATORS ABOUT HEALTHY
MENU PLANNING AND FOOD PERPARATION FOR CHILDREN","ABSTRACT
Obesity is a serious health concern for children and adolescents
(D.C. Hunger Solutions, 2010). Results from the 2007-2008
National Health and Nutrition Examination Survey (NHANES), using
measured heights and weights, indicate that an estimated 17 percent
of children and adolescents ages 2-19 years are obese
(NHANES, 2010). Among pre-school age children 2-5
years of age, obesity increased from 5 to 10.4%, between the years
of 1976-1980, and from 6.5 to 19.6% between 2007-2008
(NHANES, 2010). In order to combat childhood obesity,
it is imperative that support comes from individuals who have the
ability to make a significant impact in a child's life when
parents, family, and friends are not able to do so. It is often
child care centers that are left with the responsibility of caring,
nurturing, educating and providing balanced meals for children
during their most critical years of life. A program committed to
educating cooks and administrators about healthy menu planning is
Healthy Futures Starting in Kitchen (HFSK). This
program targets those who serve children in child care
centers - cooks and administrators. HFSK offers healthy food
alternatives, ideas, and choices to the child care center (CCC)
menus. Five variables of interest include: whole grains,
milk, vegetables, low fat meats and proteins. The goal is to
evaluate pre- and post-menus to determine if changes have been made
after the HFSK program intervention according to the variables
selected. The content of this paper will discuss the importance of
the HFSK program and its effects on healthy menu planning in CCCs
in Mecklenburg County, North Carolina. Assessing this
information will provide specific information which will help
improve program practices with the goal of expanding to other
North Carolina counties in the future.","-- TABLE OF CONTENTS -- Table of
contents…………………………………………………………..................................6
-- List of
tables………………………………………………………………………..............................8
-- List of
figures……………………………………………………………………….............................9
--
Abstract……………………………………………………………………....................................10
--
Introduction………………………………………………………………....................................11
--
Background…………………………………………………………..............……….....................11
-- Literature
Review…………………………………………………......………............................13
-- Conceptual
Framework…………………………………………….....……............................16
--
Purpose……………………………………………………………………......................................18
-- Problem
Statement…………………………………………………………................................18
-- Significance of
Study………………………………………………………...............................18
-- Study Aims and Research
Hypothesis……………………………................................19
--
Assumptions………………………………………………………………....................................20
--
Delimitations………………………………………………………….......................................
20 --
Limitations…………………………………………………………..........................................
20 --
Definitions…………………………………………………………......………..............................
20 --
Methodology……………………………………………………………………….............................23
-- Research
Design……………………………………………………………................................
23 -- Study
Material………………………………………………………………................................
24 -- Study
Population………………………………………………………...................................
24 -- Selection
Criteria…………………………………………………………..................................
24 --
Confidentiality……………………………………………………………....................................
25 -- Data
Management…………………………………………………………..................................25
--
Measures…………………………………………………………………......................................
25 -- Analysis
Plan………………………………………………………………....................................
26 --
Results…………………………………………………………………………….................................27
--
Analysis…………………………………………………………………........................................
27 --
Discussions………………………………………………………………………...............................
30 --
Limitations………………………………………………………….....……...................................31
--
Conclusion………………………………………………………….....……….................................31
--
References………………………………………………………………………….............................
33 --
Appendix…………………………………………………………………………................................
36 -- Appendix A Emory Institutional Review
Board………………………...........................
36 -- Appendix B
Resume……………………………………………………....................................
37 --
-- LIST OF TABLES -- TABLE -- Table 1. Conceptual Model Table from
""Theory at a Glance: A Guide for Health Promotions Practice""
……………………………………………………………….......................................................17
-- Table 2. Four Variables Pre- and Post Participation with
HFSK…………………...........26
-- Table 3. Increases in Variables from Pre-menu
Post-menu………………………...........
27 -- Table 4. Post Menu Comparison of Variables Monday and Tuesday
vs. Thursday and --
Friday………………………………………………………………………………..................................27
-- LIST OF FIGURES -- FIGURE -- 1. Health Belief
Model…………………………………………………….....................................13"
published,emory:pjjqb,"Patel, Aakash Vijay","The Expanded IgD- CD27- CD11c+ B Cell Subpopulation of Systemic
Lupus Erythematosus Patients Is Not Anergic, as Measured by
Proximal B Cell Receptor-Associated Signaling",,
published,emory:92hmg,"Stair, Sabrina Lynn","A Comparison of Phosphodiesterase Type 4 (PDE4) Expression in the
BLA in Control and Chronically Stressed Rats","The basolateral nucleus of the amygdala (BLA) is the site
of fear-learning, and is part of the neural circuitry disrupted in
mood and affective disorders. Evidence suggests that
phosphodiesterase 4 (PDE4) inhibitors, which enhance cAMP levels,
could be potential treatments for affective disorders. In line with
this, unpublished data from our laboratory reveals that PDE4
inhibition causes robust changes in the physiological properties of
BLA principal neurons. Thus, aberrant PDE4 activity in BLA
principal neurons may contribute to the development of affective
disorders. There are approximately twenty-five known PDE4 isoforms,
and little is presently known about the baseline expression of PDE4
mRNA and protein isoforms in the BLA. We performed RT-PCR, single
cell RT-PCR, western blot analysis, and immunohistochemical
analysis to elucidate the expression of PDE4 in the BLA. Our
results indicate that of the PDE4A, PDE4B, and PDE4D mRNA
transcripts we investigated, all PDE4 isoforms were expressed in
the whole tissue BLA samples except PDE4D1 and PDE4D2. Moreover, we
found that mRNA transcripts for most of these PDE4 isoforms were
also expressed in BLA principal neurons, with the exception of
PDE4B1, PDE4B2, and PDE4D8. Western blot and immunohistochemical
analysis confirmed the presence of mature peptide for many of these
same isoforms. Following exposure to a repeated, four day,
unpredictable shock stress paradigm (USS), we found that PDE4A and
PDE4D mRNA transcripts were down-regulated in whole tissue samples
of the BLA. Importantly, PDE4D mRNA transcripts were also
down-regulated in BLA principal neurons following USS. A
semi-quantitative densitometric PCR analysis in whole tissue BLA
samples revealed that PDE4A1, PDE4A5, PDE4A8, PDE4A10, PDEB3,
PDE4B, PDE4D5, PDE4D7, PDE4D8, and PDE4D9 were significantly
down-regulated following USS. These PDE4 isoforms may represent
important targets for further investigation with quantitative PCR
probes and isoforms specific antibodies. Overall, this project has
taken the first steps in determining baseline expression of PDE4
isoforms in the BLA, an important task if PDE4 inhibitors are to be
used as pharmacological treatments for mood disorders in the
future.","Table of Contents --
Introduction………………………………………………………………………………………..1
--
Methods…………………………………………………………………………………………..11
--
Results……………………………………………………………………………………………18
--
Discussion………………………………………………………………………………………..25
-- Figure
1…………………………………………………………………………………………..34
-- Figure
2…………………………………………………………………………………………..35
-- Figure
3…………………………………………………………………………………………..36
-- Table
1…………………………………………………………………………………………...37
-- Figure
4…………………………………………………………………………………………..38
-- Figure
5…………………………………………………………………………………………..39
-- Figure
6…………………………………………………………………………………………..40
-- Figure
7…………………………………………………………………………………………..41
-- Figure
8…………………………………………………………………………………………..42
-- Figure
9…………………………………………………………………………………………..43
-- Figure
10…………………………………………………………………………………………44
-- Figure
11…………………………………………………………………………………………45
-- Figure
12…………………………………………………………………………………………46
-- Figure
13…………………………………………………………………………………………47
-- Figure
14…………………………………………………………………………………………48
-- Figure
15…………………………………………………………………………………………49
--
References………………………………………………………………………………………..50"
published,emory:92j17,"Goldberg, Melissa Gayle","Social Cognition and Object Relations in Adolescents: Associations
with Adaptive Functioning and Personality Pathology","Abstract
Social Cognition and Object Relations in Adolescents: Associations
with Adaptive Functioning and
Personality Pathology
By Melissa Goldberg
The Social Cognition and Object Relations Scale (SCORS) is a
measure applied to relational narrative
data to assess information about an individual's self/other
representations and interpersonal
functioning. While an abundance of research has used the SCORS to
assess adult psychopathology and
treatment response, less work has focused on adolescents. This
study aims to evaluate the
developmental stability of social cognition and object relations
across early and late-stage adolescents in
a clinical sample, its relationship to personality pathology and
adaptive functioning, and whether this
construct and measure provide incremental validity over personality
disorder diagnosis and age in
predicting multiple domains of adaptive functioning. SCORS scales
exhibited developmental growth
across age groups, showed significantly more pathology in
adolescents with diagnosable personality
pathology, and predicted domains of adaptive functioning above and
beyond age and DSM-IV
personality disorder diagnosis. These findings suggest that social
cognition and object relations
constitute aspects of personality crucial to adaptive functioning
that are related to but not fully captured
by personality disorder diagnosis.","Table of Contents --
Introduction………………………………………………………………………………………..1
-- Object relations
theory….…………………………………………..2
-- Social
cognition…………………………………………………………………………..5
-- Measuring social cognition and object relations capacities with
the SCORS --
…………..……………………….…………………………….…...6
-- Clinical application of the SCORS to patients' relational
narratives in psychotherapy --
……...………10 --
Predictions………….…………………………………….………………………………13
--
Method…………………………………………………………………………………………...14
-- Participants and Procedure
…………………………………………………………………………...….14
--
Measures…………………………………………………………………………………14
--
Results……………………………………………………………………………………………16
-- Descriptive
Statistics………….…………………………………….……………………16
-- SCORS and
age………….…………………………………….……………..17
-- SCORS and personality disorders
………….…………………………………….……………..17
-- SCORS and adaptive/maladaptive
functioning…………….…………………………………….……..18
-- Incremental validity of SCORS with age and personality disorders
in associations with adaptive -- and maladaptive functioning
………….…………………………………….……………...18
--
Discussion………….…………………………………….………………………………19
-- SCORS
measurements………….…………………………………….………………………………19
--
Limitations………….…………………………………….………………………………21
-- Clinical
Implications………….…………………………………….………………………………22
--
References………….…………………………………….………………………………31
--  --  
--"
published,emory:cqwx7,"Vandenberg, Ann Elisabeth","What We Can Say about Cognition in Aging: Arguments for and against
Cognitive Health Promotion","Rising life expectancies and reductions in chronic
disease mortality have resulted in an increasing prevalence of
cognitive impairment in the United States, with high societal and
personal costs, widespread fear, and a thriving marketplace of
cognitive solutions that have not received official sanction.
Cognitive health in aging has therefore emerged as a pressing
public health issue. However, the intersection of gerontology,
cognition, and public health has received little academic attention
to date. This qualitative research project examines the question,
Why have no public health recommendations been issued nationally
for older Americans to maintain or promote their cognitive
health? and the deeper epistemological question, What is
adequate evidence for issuing public health recommendations? or
When do we know enough to act? Using a grounded theory
framework, it examines discourse by cognitive health experts and
published documents in three areas of cognitive health activity:
research, industry, and policy. Altogether, 17 experts were
interviewed and a sequence of policy arguments traced from the
Cognitive and Emotional Health Project, to the Alzheimer's
Association's Maintain Your BrainTM campaign, to the
CDC-based Healthy Brain Initiative, to the NIH State-of-the-Science
Conference on Preventing Alzheimer's Disease and Cognitive Decline,
to the National Alzheimer's Project Act. After evaluating
epidemiology and randomized controlled trials (RCTs) on lifestyle
behaviors for cognitive health, it examines arguments made for or
against issuing public health recommendations, using the Toulmin
model of analyzing arguments. The analysis revealed four
epistemological arguments for or against recommending public health
recommendations for cognitive health: 1) the Evidence-Based
Policy Argument, which uses RCTs alone to warrant issuing
recommendations, 2) the Epidemiologically Informed Policy
Argument, which proposes that epidemiology and RCTs together
constitute adequate evidence, 3) the Triangulated Evidence
Policy Argument, built around a cumulative weight of multiple
forms of evidence to support recommendations, and 4) the
Logically Derived Policy Argument, which uses RCTs showing
that a behavior is effective in preventing a risk factor for a
certain disease to endorse the same behavior to prevent a common
cognitive sequela of that disease. This project ultimately endorses
the Logically Derived Policy Argument in support of
heart-healthy behaviors for cognitive health.","-- 

 -- Introduction
â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦.....1
-- Chapter 1: The Emergence of the Healthy Older Brain
â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦26
-- Chapter 2: Researching Cognitive Health
â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦..68
-- Chapter 3: The Cognitive Health Marketplace
â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦.127
-- Chapter 4: The Evolution of Cognitive Health Policy
â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦..163
-- Conclusion
â€¦...................................................................................229
-- Appendix: Profiles of Cognitive Health Experts Interviewed
â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦..247
--
-- Bibliography
â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦......250"
published,emory:pkh4z,"Straub, Laura Elizabeth","Serious Psychological Distress among US Adults with Arthritis:
Prevalence and Barriers to Receiving Care",,
published,emory:8472j,"Dooriss, Kerry Titus","Pharmacologic evaluation of fVIII expression in retroviral mediated
gene therapy for hemophilia A","Pharmacologic evaluation of fVIII expression in retroviral
mediated gene therapy
for hemophilia A

By Kerry Titus Dooriss

Hemophilia A is an excellent candidate for gene therapy because it
can be cured
by the transfer of a single gene into any cell with access to the
bloodstream.
Unfortunately, the success of gene therapy has been hampered by low
and
transient transgene expression, the risk of insertional
mutagenesis, and the
frequent induction of an immune response. We hypothesized that
the
development of a safer viral vector incorporating a high-expressing
fVIII
transgene for the transduction and transplantation of hematopoietic
stem cells
can overcome the barriers of low and transient expression with a
decreased risk
of insertional mutagenesis. With respect to the development of a
high-expressing
transgene, a number of human, porcine, and human/porcine chimeric
transgenes
were developed for the purpose of determining which transgene
exhibits the
highest fVIII expression following lentiviral-mediated
hematopoietic stem cell
transduction and transplantation in a mouse model of hemophilia A.
We
discovered that porcine fVIII and one chimeric fVIII transgene
express at
significantly higher levels than any of the human constructs. We
also
demonstrated sustained fVIII expression in hemophilic mice
following lentiviral-
mediated transduction and transplantation of gene-modified
hematopoietic stem
cells. To evaluate the ability of a lentivirus to mediate
lineage-specific fVIII
expression in gene-modified bone marrow cells, self-inactivating
lentiviral vectors
were developed to express porcine fVIII under the control of the
Î²-globin
promoter and locus control region. We demonstrated high-level fVIII
expression
following lentiviral mediated gene-transfer into a myelogenous
leukemic cell line,
as well as from gene-modified hematopoietic cells in transplanted
mice. Although
we confirmed this lentiviral-mediated gene transfer platform is
capable of GFP
and fVIII expression in mice, hematopoietic stem cell transduction
efficiency was
limiting. Transduction efficiency was lower with the porcine
fVIII-containing
lentivirus compared to the GFP-containing lentivirus. Together,
these studies
demonstrate that a porcine or human/porcine chimeric transgene is
able to
mediate high level fVIII expression, that erythroid-specific fVIII
expression is
possible, and that hematopoietic stem cell transduction is the
limiting factor in the
future success of this erythroid-specific lentiviral-mediated gene
transfer system.","TABLE OF CONTENTS -- Chapter 1: General Introduction -- 1.1
Hemostasis and the blood coagulation cascade (2) -- 1.2 Genetic and
clinical implications of hemophilia A (4) -- 1.3 Gene therapy as a
cure for hemophilia A (6) -- 1.4 Successes and setbacks in gene
therapy (9) -- 1.5 Improving the safety of gene therapy 2(2) -- 1.6
Hematopoietic stem cell-mediated gene therapy (24) -- Chapter 2:
Comparison of factor VIII transgenes bioengineered for -- improved
expression in gene therapy of hemophilia A -- 2.1 Abstract (29) --
2.2 Introduction (30) -- 2.3 Materials and Methods (34) -- 2.4
Results (49) -- -Expression of bioengineered fVIII constructs in
heterologous mammalian cells -- -Comparison of fVIII expression
using targeted single transgene integration -- -High level fVIII
expression from a human/porcine chimeric fVIII transgene --
-Characterization of fVIII production rates -- -High-level
expression of pfVIII using lentiviral gene transfer -- -In vivo
comparison of lentiviral-mediated hfVIII and pfVIII expression --
2.5 Discussion (84) -- Chapter 3: Erythroid-restricted lentiviral
gene therapy of hemophilia A -- incorporating high expression
porcine factor VIII -- 3.1 Abstract (95) -- 3.2 Introduction (96)
-- 3.3 Materials and Methods (100) -- 3.4 Results (108) --
-Comparison of strength and specificity of two erythroid promoters
-- -High level pfVIII expression in hemophilia A mice controlled by
the -- beta-globin promoter -- -Optimization of HSC purification
and transplant from murine bone marrow -- -Gene-modification of
HSCs using Sca-1+/CD150+ bone marrow cells -- -Induction of immune
tolerance by transient erythroid fVIII expression -- 3.5 Discussion
(142) -- Chapter 4: Characterization of lentiviral transduction
efficiencies -- 4.1 Abstract (152) -- 4.2 Introduction (153) -- 4.3
Materials and Methods (156) -- 4.4 Results (160) -- -5-FU
pretreatment for HSC enrichment -- -Comparison of SIV and HIV-based
viruses for erythroid promoter- -- driven pfVIII expression --
-Comparison of lentiviral production protocols -- -Characterization
of HIV-GFP and HIV-pfVIII viral titers -- -Determination of
transgene-specific or cell-specific differences in lentiviral
transduction -- 4.5 Discussion (186) -- Chapter 5: Conclusions and
future directions -- 5.1 Conclusions (192) -- -Development of
recombinant fVIII transgenes -- -Gene transfer platforms -- -Gene
therapy transgene promoters -- -Hematopoietic stem cell
transduction -- -Lentiviral quantification -- -Variable viral
transduction efficiencies -- 5.2 Future directions (205) --
References (218) -- Copyright authorizations (238)"
published,emory:brj6b,"Citronberg, Jessica","Effects of Ginger Supplementation on Markers of Apoptosis,
Proliferation, and Differentiation in the Normal-Appearing Colonic
Mucosa of Patients at High Risk for Colorectal Cancer: Results from
a Pilot, Randomized, Controlled Trial","Background: To estimate the effects of ginger on apoptosis,
proliferation, and
differentiation in the normal human colorectal mucosa, we measured
the expression of cell
cycle markers in the normal-appearing colon mucosa of patients at
increased for CRC in a
pilot, randomized, double-blinded, placebo-controlled, clinical
trial.
Methods: A total of 20 patients were treated with either 2.0 g
(eight 250 mg capsules) of
encapsulated ginger (standardized to 5%-gingerols) or placebo daily
for 28 days. Overall
expression and distributions of Bax, Bcl-2, p21, hTERT and MIB-1 in
colorectal crypts in
biopsies of normal-appearing colon mucosa were detected and
measured using automated
immunohistochemistry and quantitative image analysis. Percent
changes in biomarker
expression over the treatment period were calculated, categorized,
assigned a score and then
summed to construct a ""cell-cycle score.""
Results: Image analysis measurement intra-rater reliability was
â‰¥ 0.90 for all biomarkers. In
the ginger group relative to the placebo group, Bax expression
decreased 15.6% (p = 0.81)
along the full length of the crypts, 6.6% (p = 0.38) in the upper
40% (differentiation zone) of
the crypts, and 21.7% (p = 0.77) in the lower 60% (proliferative
zone) of the crypts;
however, there was a 19% increase (p = 0.80) in the proportion of
the expression of Bax in
the upper 40% relative to the whole crypt. While p21 and Bcl-2
expression remained
relatively unchanged, hTERT expression along the full length of
crypts decreased by 41.2%
(p = 0.05); the estimated treatment effect on hTERT expression was
slightly more
pronounced in the canonical differentiation zone of crypts (-47.9%;
p = 0.04). In the ginger
group relative to the placebo group, MIB-1 expression decreased
along the entire crypt,
upper 40% of crypts, and lower 60% of crypts by 16.9% (p = 0.39),
46.8% (p = 0.39), and
15.3% (p = 0.41), respectively.
Conclusions: These preliminary results 1) suggest that ginger may
reduce proliferation in the
normal-appearing colorectal epithelium and increase apoptosis and
differentiation relative to
proliferation-especially in the proliferative zone of the crypts,
and 2) support a full-scale
clinical trial to further investigate these results.","Table of Contents -- BACKGROUND
................................................................................................................................
1 -- INTRODUCTION
.............................................................................................................................
8 -- METHODS
........................................................................................................................................
10 -- RESULTS
............................................................................................................................................
17 -- DISCUSSION
....................................................................................................................................
19 -- TABLES AND FIGURES
...............................................................................................................
25 -- CONCLUSIONS AND PUBLIC HEALTH IMPLICATIONS
.............................................. 33 -- REFERENCES
..................................................................................................................................
35 -- APPENDICES
...................................................................................................................................
48"
published,emory:g0zkq,"Shioda, Kayoko","Evaluation of Leptospirosis Risk Reduction Project in Northeast
Thailand",,
published,emory:8m03x,"Hochman, Karen M","MENTAL HEALTH SERVICE UTILIZATION PATTERNS IN PATIENTS ADMITTED
TO THE FOCUS INTENSIVE OUTPATIENT TREATMENT PROGRAM AT GRADY HEALTH
SYSTEM","Abstract
MENTAL HEALTH SERVICE UTILIZATION PATTERNS IN PATIENTS
ADMITTED TO THE FOCUS INTENSIVE OUTPATIENT TREATMENT PROGRAM
AT GRADY HEALTH SYSTEM
BY
Karen Michele Hochman

Objective: This study examines mental health service use in
a cohort of severely
mentally ill patients admitted to an acute partial hospitalization
program (""FOCUS"")
between November, 2004 and December, 2007. Service use in the
twelve months before
and after admission was examined. Service use data were then
compared for program
completers and non-completers.
Methods: The FOCUS intervention was designed for adults
aged 18-64 who are
suffering from one or more Axis I disorders accompanied by severe
impairment.
Treatment included: psychiatric assessment, nursing/medical
screening,
pharmacotherapy, group, family and individual therapies, and case
management.
Programming was for five hours/day, five days a week. Data for 215
admissions were
examined for one year before and after admission to the program.
T-tests were used to
compare service use before and after the intervention, and between
completers and non-
completers.
Results: The mean duration of treatment was 52 days for
program completers and 26
days for non-completers. There was a significant decline in
inpatient days before and
after the intervention (19.0 days vs. 5.1 days, p&lt;0.001), with
no significant change in
Psych ER visits (1.6 visits vs. 1.5 visits, p=0.454). There were
three times more non-
urgent mental health visits (not including FOCUS visits) in the
twelve months after
admission to the program than before (3.9 vs. 11.7, p&lt;0.001);
furthermore, completers
attended three times as many non-urgent outpatient visits (not
including FOCUS visits)
as non-completers (14.4 vs. 5.1, p&lt;0.001).
Conclusions: The intervention was associated with a
decrease in inpatient days but not
ER visits. Results are limited by the pre-post study design and our
inability to control for
potential unmeasured confounders. Further research is needed in
order to determine
whether acute partial hospitalization in a population with high
disease burden and other
determinants of disproportionately low mental health service use
might improve
outcomes and enhance adaptive service use.","7 -- TABLE OF CONTENTS -- ACKNOWLEDGEMENTS
................................................................................................
6 -- LIST OF TABLES
..............................................................................................................
8 -- MENTAL HEALTH SERVICE UTILIZATION PATTERNS IN PATIENTS --
ADMITTED TO THE FOCUS INTENSIVE DAY TREATMENT PROGRAM AT -- GRADY
HEALTH
SYSTEM.............................................................................................
9 -- Methods
................................................................................................................
18 -- Study Design:
........................................................................................................
18 -- Sample size :
..............................................................................................
18 -- Human Subjects and Confidentiality issues:
........................................ 19 -- Informed consent:
.....................................................................................
20 -- IRB approval:
............................................................................................
20 -- Results
..................................................................................................................
22 --
Discussion.............................................................................................................
27 -- CONCLUSION; STUDY IMPLICATIONS AND FUTURE DIRECTIONS
................. 34 -- REFERENCES
.................................................................................................................
36 -- APPENDICES
..................................................................................................................
38 -- 8 -- LIST OF TABLES -- PSYCHIATRIC EMERGENCY SERVICE VISITS
.................................................. 52 -- NUMBER OF
PSYCHIATRIC INPATIENT ADMISSIONS
.................................... 51 -- NUMBER OF PSYCHIATRIC
INPATIENT ADMISSIONS (CONT'D) ................ 55 -- NUMBER OF
PSYCHIATRIC INPATIENT DAYS
.................................................. 56 -- NUMBER OF
PSYCHIATRIC INPATIENT DAYS (CONT'D) ...............................
57 -- NUMBER OF NON URGENT PSYCHIATRIC VISITS
........................................... 58 -- NUMBER OF NON
URGENT PSYCHIATRIC VISITS (CONT'D) ........................ 59"
published,emory:bpmgh,"McCall, Adam Winfield","The Influence of Business Groups as Amici on Judges in the U.S.
Courts of Appeals","Abstract
The Influence of Business Groups as Amici on Judges in the U.S.
Courts of Appeals
Much has been written about the influence of business interest
groups on U.S. federal
government policy making. While most of the existing literature
focuses on administrative rule
making and legislative policy, this thesis explores the
effectiveness of business interests in
lobbying the federal judiciary. Thus, this study measures the
impact that business groups have
when participating as amici, friends of the court, before the U.S.
Courts of Appeals. I used
existing data about federal appellate cases collected from
1997-2002 and added new information
about the different interest groups which participated, including
their average expenditures on
lobbying during that time period. I find that business groups,
particularly well-resourced ones,
tend to account for most of the impact that amicus briefs have on a
judge's vote. This effect is
much clearer when businesses file for appellants than when they
support respondents. Aside
from federal agencies, other groups have little success when filing
amicus briefs. However, my
thesis finds that organizations which specialize in legal advocacy
do appear to help appellants
when they submit amicus briefs. My thesis raises questions about
whether the federal courts
provide a level playing field for all participants in litigation or
whether certain groups are
advantaged due to their expertise and resources.","Table of Contents -- Table of Contents -- I.
Introduction………………………………………………………………………………1
-- II. Courts and Public
Policy………………………………………………………………...2
-- III. Interest Groups and the
Courts………………………………………………………...4
-- IV. Amicus Briefs and Judicial Decision
Making……………………………………….....9
-- V. Principal
Hypotheses…………………………………………………………………...14
-- VI. Other Factors Influencing Judicial Decision
Making………………………………..15
-- VII. --
Data………………………………………………………………………………….18
-- VIII. Analysis: An Overview of the
Data………………………………………………..25
-- Table 1: Respondent Success in
Dataset..............................………………………28
-- Table 2: Distribution of Amici in Favor of Appellant and
Respondent………...30 -- IX. Analysis: An
Examination of the
Hypotheses………………………………………..31
-- Table 3: Baseline Showing Effects of Control
Variables…………………………32
-- Table 4: Effect of Presence of
Amici………………………………………………33
-- Table 5: Effect of Number of Amicus
Groups……………………………………34
-- Table 6: Effect of Business, Federal, and Other
Amici…………………………..36
-- Table 7: Effect of Number of Business, Federal and Other
Amici………………37 -- Graph 1:
Predicted Probability of Pro-Respondent Vote with Business
Amici...39 -- Table 8: Effect of Average Lobbying Expenditures by
Amici…………………...40 --
Table 9: Influence of Lobbying Expenditures by Amici Supporting --
Appellant…………………………………………………………………………….41
-- Table 10: Effect of Specialized Legal Advocacy
Amici…………………………..42
-- Table 11: Predicted Probability of Pro-Respondent Vote for
Pro-Appellant -- Legal
Groups………………………………………………………………………..43
-- Table 12: Effect of Business, Federal, and Other Amici on
Judge's Pro-Business --
Votes…………………………………………………………………………………44"
published,emory:g1b1q,"Hart, Meaghan Catherine","Chaplain Encounter Characteristics and Probability of Study Consent
Among Palliative Care Patients From the Impact of Hospital-Based
Chaplain Support on Decision-Making During Serious Illness in a
Diverse Urban Palliative Care Population (PCCS) Study","In this paper, we review the difficulties of
palliative care study recruitment, and then use data from the
Impact of Hospital-Based Chaplain Support on Decision-Making During
Serious Illness in a Diverse Urban Palliative Care Population
(PCCS) study to investigate whether friend and family presence is
associated with palliative care study consent.
There were 325 patients who consented or
declined to consent to a second part of the PCCS study and were
included in this analysis. The patients included in the study had
an average of 1.3 diaries per patient before consent decision (423
diaries in total). The exposure of interest was presence of family
and friends during chaplain encounters, and was analyzed two ways:
as â€˜ever' or â€˜never,' and as
percentage of encounters where family or friends were present. The
exposure variable in the model with the binary
â€˜ever' or â€˜never' coding for
family or friend presence was not significant. The model analyzing
the proportion of encounters where family or friends were present
found a significant 40% decrease in the likelihood of consent for
patients who had family and friends present at all PCCS diary
encounters compared to patients with family and friends present at
none of the PCCS diary encounters. The results indicate that family
and friend presence is associated with palliative care study
recruitment.","TABLE OF CONTENTS --
Background...........................................................................1
-- Palliative Care Introduction
..............................................1 -- Spiritual Care
in Palliative Care .........................................1 --
Family Involvement in Palliative Care
.................................3 -- Value of Research in
Palliative Care ...................................4 -- Challenges
in Research
...........................................................5 --
Securing Approval
..........................................................6 --
IRB/ethics
............................................................6 --
Proxy Consent
......................................................8 -- Securing
Buy-in / Engagement ........................................10 --
Health Providers
...................................................10 -- Patient
Availability ................................................11 --
Patient and Family Concerns ...................................11
-- Securing Consent
.........................................................13 --
Family and Friends
................................................14 -- Demographics
......................................................14 --
Prognosis
............................................................15 --
Diagnosis
............................................................15 --
Perceived Benefits
................................................16 -- Concluding
Points
.................................................................17
-- Purpose
..............................................................................18
-- Methods
.............................................................................20
-- Study Design
...............................................................20
-- Sample
.......................................................................21
-- Variables
.....................................................................22
-- Statistical Analyses
.......................................................25 --
Results
...............................................................................28
-- Sample
.......................................................................28
-- Bivariate Analyses of Consent and Diary Characteristics
.......28 -- Analysis 1
....................................................................30
-- Collinearity Assessment
..........................................30 -- Effect Modification
................................................30 -- Confounding
.........................................................31 --
Final Model
...........................................................31 --
Analysis 2
....................................................................31
-- Collinearity Assessment
..........................................31 -- Effect Modification
................................................32 -- Confounding
.........................................................32 --
Final Model
...........................................................32 --
Discussion
............................................................................33
-- Strengths and Weaknesses
..............................................35 -- Future
Directions
...........................................................37 --
References
...........................................................................38"
published,emory:pkgp2,"Bell, Julia","Medical and social characteristics of super-utilizers: A
case-control study of patients frequently admitted to a Southern
public hospital.",,
published,emory:gtg58,"Wang, Jiemin","The Relationship Between Mental Stress-Induced Microvolt T-Wave
Alternans (MTWA) and Inflammation in Post-Myocardial Infarction
(MI) Patients",,
